id_cliente,departamento,ingreso_mensual,saldo_tarjeta,score_infocorp,target_default,edad_cliente,antiguedad_bancaria_meses,uso_canal_digital,uso_canal_digital_ord,cluster,prob_default,pred_default,decision_crediticia,nivel_riesgo
CLI-100000,Lima,3557.54,5018.93,282,1,42,170,Alto,2.0,0,0.9273499069070844,1,Denegar/Revisar,Muy alto
CLI-100001,Cusco,7378.37,554.69,963,0,29,11,Medio,1.0,0,0.003303191314139181,0,Aprobar,Bajo
CLI-100002,Arequipa,3445.65,992.58,647,1,47,297,Medio,1.0,1,0.1492914971780045,0,Aprobar,Bajo
CLI-100003,Piura,3785.84,5502.89,981,0,49,177,Alto,2.0,1,0.018682218125634188,0,Aprobar,Bajo
CLI-100004,Lima,3655.12,1284.22,136,1,18,0,Alto,2.0,0,0.9570954270804687,1,Denegar/Revisar,Muy alto
CLI-100005,Lima,2828.2,12653.938750000001,113,1,24,14,Medio,1.0,0,0.9970586793097076,1,Denegar/Revisar,Muy alto
CLI-100006,Lima,5267.03,3111.08,734,0,41,66,Alto,2.0,0,0.07634596365009527,0,Aprobar,Bajo
CLI-100007,Loreto,6099.95,852.81,694,0,36,95,Medio,1.0,0,0.05590902736311486,0,Aprobar,Bajo
CLI-100008,Piura,1025.0,7830.55,258,1,38,88,Medio,1.0,0,0.9804447718442891,1,Denegar/Revisar,Muy alto
CLI-100009,Arequipa,3629.63,1539.57,593,0,30,58,Medio,1.0,0,0.23852623912144183,1,Denegar/Revisar,Bajo
CLI-100010,Lima,3011.29,1363.25,428,0,48,42,Medio,1.0,1,0.6208864484337523,1,Denegar/Revisar,Alto
CLI-100011,Cusco,2482.5,1586.66,713,0,47,185,Alto,2.0,1,0.12218805162181288,0,Aprobar,Bajo
CLI-100012,Loreto,1518.05,5847.47,948,0,39,171,Medio,1.0,1,0.04346983435227822,0,Aprobar,Bajo
CLI-100013,Lima,1025.0,760.83,182,1,50,218,Bajo,0.0,1,0.9598120703968502,1,Denegar/Revisar,Muy alto
CLI-100014,Lima,3966.55,1923.68,655,0,44,214,Medio,1.0,1,0.1493825874493674,0,Aprobar,Bajo
CLI-100015,Lima,3056.95,125.27,679,0,29,27,Alto,2.0,0,0.10959912881372022,0,Aprobar,Bajo
CLI-100016,Lima,3655.12,7009.23,659,1,43,35,Medio,1.0,0,0.347348175852469,1,Denegar/Revisar,Medio
CLI-100017,Piura,3977.64,1666.42,668,0,29,88,Alto,2.0,0,0.13240918864067913,0,Aprobar,Bajo
CLI-100018,Lima,2833.78,1141.0,686,0,48,254,Bajo,0.0,1,0.130764486282235,0,Aprobar,Bajo
CLI-100019,Lima,4677.27,3468.99,121,1,39,118,Medio,1.0,1,0.9686705104785696,1,Denegar/Revisar,Muy alto
CLI-100020,Piura,2030.67,4883.01,231,1,36,132,Bajo,0.0,1,0.966127576705193,1,Denegar/Revisar,Muy alto
CLI-100021,Lima,5885.98,6704.36,564,0,32,55,Alto,2.0,0,0.4296968955567252,1,Denegar/Revisar,Medio
CLI-100022,Lima,3564.98,1709.52,555,0,52,39,Medio,1.0,1,0.32007857925593847,1,Denegar/Revisar,Medio
CLI-100023,Lima,2324.15,6691.66,401,1,37,53,Medio,1.0,0,0.8840468864103223,1,Denegar/Revisar,Muy alto
